조사지역,조사기관,1위 후보,1위 지지율(%),2위 후보,2위 지지율(%),격차(%p),링크,제목,본문내용
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5028654&exception_mode=recommend&search_head=100&page=4,여조꽃 : 강원,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
부산 북갑,토마토,하정우,35.5,한동훈,28.5,7.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5028532&exception_mode=recommend&search_head=100&page=4,토마토 : 부산 북갑 하정우 35.5% 한동훈 28.5% 박민식 26%,"'적극 투표층'에선 하정우 44.3% 대 한동훈 24.8% 대 박민식 24.6%로, 하 수석이 두 사람과의 지지율 격차를 더욱 벌렸습니다. 적극 투표층에서 한 전 대표와 박 전 장관의 지지율 격차는 단 0.2%로, 더욱 좁혀졌습니다. 야권의 핵심 기반인 보수층에선 박민식 42.2% 대 한동훈 38.4% 대 하정우 14.1%로, 박 전 장관과 한 전 대표로 지지세가 나뉘었습니다. 국민의힘 후보 지지층에선 박민식 60.1% 대 한동훈 32.9% 대 하정우 2.0%로, 박 전 장관이 60% 이상의 지지를 받았습니다.투표에 적극 참여하겠다는 이른바 '적극 투표층'에선 전 의원이 박 시장과의 지지율 격차를 더욱 벌렸습니다. 적극 투표층 전재수 56.0% 대 박형준 38.9%로, 전 의원의 지지세가 50%를 크게 상회했습니다. 정치 성향별로 보면 민심의 풍향계로 읽히는 중도층에선 전재수 52.7% 대 박형준 34.4%로, 절반 이상이 전 의원을 지지했습니다. 진보층은 전재수 79.4% 대 박형준 14.9%로, 전 의원에 대한 지지세가 압도적이었습니다. 보수층의 경우, 박형준 63.4% 대 전재수 28.4%로, 박 시장이 크게 앞섰습니다. 6·3 지방선거 지지 정당별로 보면 민주당 후보 지지층에선 전재수 93.6% 대 박형준 3.7%, 국민의힘 후보 지지층에선 박형준 81.9% 대 전재수 12.7%로, 부산시장 후보에 대한 지지 의견이 크게 엇갈렸습니다.다만 투표에 적극 참여하겠다는 이른바 '적극 투표층'에선 이번 지방선거에서 민주당 후보에게 투표하겠다는 응답이 절반에 달하면서 높게 나타났습니다. 적극 투표층 민주당 후보 49.0% 대 국민의힘 후보 31.8%로, 양당의 지지율 격차는 10%포인트 이상으로 크게 확대됐습니다.한편 이번 조사는 <뉴스토마토> 의뢰로 미디어토마토가 지난 24일부터 25일까지 이틀간 만 18세 이상 부산 북구갑 선거구 거주 성인남녀 802명을 대상으로 실시됐으며, 표본오차는 95% 신뢰수준에 ±3.5%포인트입니다. 휴대전화 가상번호(안심번호)를 활용한 무선 ARS(자동응답) 방식으로 진행됐으며, 응답률은 9.0%로 집계됐습니다. 공정성 확보와 인물별 경쟁력을 점검키 위해 문항에서 직책은 뺀 채 소속 정당과 이름만으로 물었습니다. 2026년 3월 말 행정안전부 주민등록 인구를 기준으로 성별·연령별·지역별 가중값을 산출했고 셀가중을 적용했습니다. 그 밖의 자세한 조사 개요와 결과는 중앙선거여론조사심의위원회 홈페이지를 참조하면 됩니다."
,리얼미터,이재명,62.2,민주,51.3,10.9,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5028530&exception_mode=recommend&search_head=100&page=4,리얼미터 : 이재명 62.2% 민주 51.3% 국힘 30.7%,
강원 춘천시장,에이스리서치,육동한,51.1,정광열,33.1,18.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5027412&exception_mode=recommend&search_head=100&page=4,에이스리서치 : 강원 춘천시장 육동한 51.1% v 정광열 33.1%,"강원일보가 여론조사 전문기관 (주)에이스리서치에 의뢰해 지난 24~25일 춘천시에 거주하는 만 18세 이상 남녀 504명을 대상으로 6·3지방선거 춘천시장 후보 지지도를 물은 결과(95% 신뢰수준에 표본오차 ±4.4%포인트) 민주당 육동한 후보가 절반 이상인 51.1%를 얻은 것으로 조사됐다. 국민의힘 정광열 후보 지지율은 33.1%로 집계됐다. 두 후보간 격차는 18%포인트다. ‘없음’(5.3%)과 ‘잘 모르겠다’(6.3%) 등을 선택한 부동층 비율은 11.6%다. 기타 후보는 4.2%다.‘누가 당선될 것으로 보이느냐’는 질문에서는 육동한 후보가 58.6%로 정광열 후보(31.8%)보다 26.8%포인트 높은 수치를 기록했다. 지지율 조사때보다 두 후보간 격차가 8.8%포인트 더 벌어졌다.(중략)정당 지지도 조사에서는 더불어민주당이 47.9%를 얻으며 31.3%를 확보한 국민의힘을 오차범위 밖 격차로 앞섰다. 또 진보당(2.7%), 개혁신당(1.7%), 조국혁신당(1.4%) 등이 뒤를 이었다. ‘지지 정당 없다’와 ‘잘 모르겠다’에 대한 응답률은 각각 11.5%, 0.9%다.[2026 지방선거 춘천시장 여론조사 개요]■ 조사의뢰 : 강원일보■ 조사기관 : ㈜에이스리서치■ 조사일자 : 2026년 4월 24일 ~ 4월 25일(2일간)■ 대상: 강원특별자치도 춘천시에 거주하는 만 18세 이상 남녀 504명■ 조사방법: 구조화된 설문지를 이용한 ARS 조사(무선 100%)■ 피조사자 선정 방법 : 통신 3사 제공 무선 가상번호■ 응답률 : 6.4%(전체 1만4,997명의 통화시도 중 통화성공 7,850명, 응답완료 504명, 응답률 6.4%)■ 오차 보정 방법 : 2026년 3월 말 행정안전부 발표 주민등록인구통계기준 셀가중 방식으로 성별·연령대별·권역별 가중치 부여■ 표본오차 : 95% 신뢰수준에 ±4.4%포인트■ 내용 : 정당 지지도 및 차기 춘천시장 지지도, 선택기준, 차기 강원특별자치도지사 지지도 등 (중앙선거여론조사심의위원회 홈페이지 참조)"
인천시장,한길리서치,박찬대,48.1,유정복,34.7,13.4,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5027467&exception_mode=recommend&search_head=100&page=4,한길리서치 : 인천시장 박찬대 48.1% v 유정복 34.7%,"양강으로 꼽히는 박 후보와 유 시장 간 지지율 격차는 오차 범위 밖인 13.4%p로 나타났다. 박 후보 우세 흐름을 견인한 건 서북권(계양구·서구) 민심이었다. 서북권 조사 결과만 놓고 보면 박 후보 지지율은 52.8%로, 유 시장(31.3%)과 격차가 더욱 벌어졌다. 지난해 대선 당시 민주당 이재명 후보가 이들 지역에서 국민의힘 김문수 후보를 20%p 안팎으로 따돌렸던 결과와 유사한 양상이다.서북권 다음으로 박 후보가 강세를 보인 권역은 ‘동부권’(남동구·부평구)이다. 이번 조사에서 동부권 지지율은 박 후보 44.8%, 유 시장 34.0%, 이 후보 4.7%로 나타났다. 동부권 역시 지난 대선에서 민주당이 남동구 51.9%, 부평구 52.9%로 과반 득표를 기록한 지역이다.전통적으로 보수 표심이 강세를 보이는 강화·옹진이 포함된 ‘남부강화옹진권’(강화군·옹진군·중구·동구·미추홀구·연수구)은 3개 권역별 조사에서 유일하게 양강 후보 지지율 격차가 한 자릿수로 나타났다. 남부강화옹진권 지지율은 박 후보 47.1%, 유 시장 38.1%, 이 후보 1.4%였다. 1년 전 대선 당시 민주당 득표율은 강화군·옹진군·동구·연수구에서 50%에 미치지 못했다.조사개요이번 조사는 인천일보가 여론조사 전문기관 ㈜한길리서치에 의뢰해 지난 23~25일 인천지역에 거주하는 만 18세 이상 남녀 808명을 대상으로 진행했다. 표본은 성별·연령별·지역별 할당 무작위 추출해 무선(가상번호) ARS 100% 방법으로 조사했다. 응답률은 6.5%이며 지난 3월 말 행정안전부 주민등록 인구 기준으로 성별·연령별·지역별 가중값을 부여했다. 표본오차는 95% 신뢰수준에 ±3.4%p다. 자세한 내용은 중앙선거여론조사심의위원회 누리집 참조."
李 68.3%,에스티아이,민주,55.9,국힘,25.4,30.5,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5027394&exception_mode=recommend&search_head=100&page=5,에스티아이 : 李 68.3% 민주 55.9% 국힘 25.4%,"출마 후보를 2명으로 압축한 가상 대결에서도 오차 범위 내 접전을 벌었다. 전체 응답자에선 김 총리가 34.1%, 정 대표는 29.7%였다. 민주당 지지층에서도 김 총리 42.6%, 정청래 40.7%였다. 또 민주당 지지층에 무당층 포함 시, 김 총리 40.5%, 정 대표 37.6%로 나타났다.또 이재명 정부의 실용주의 국정을 뒷받침할 사람이 차기 당 대표와 되어야 한다는 응답은 33.6%였고 개혁과제 실현을 뒷받침할 사람이 당 대표가 되어야 한다는 답변은 33.1%로 나타났다. 민주당 지지층에서 개혁과제 실현이 47.3%, 실용주의 국정 뒷받침이 44.8%였다.차기 대표가 집중해야 할 분야에 대해선 ‘민생 법안 추진’이 41.1%로 가장 많았고 ‘야당 협치’는 25.4%로 뒤를 이었다. 이어 ‘당정청 협력’ 17.5%. ‘차기 총선 준비’ 6.5% 등이었다.이번 조사에서 이재명 대통령의 국정 운영에 대한 긍정적 평가는 68.3%였다. 광주·전남·전북의 경우, 84.1%로 집계됐다. 민주당 지지층의 긍정 평가는 96.1%에 달했다.정당 지지율 조사에선 민주당이 55.9%로 국민의힘(25.4%)을 2배 이상 앞섰다. 조국혁신당 1.8%, 진보당 1.5%, 개혁신당 2.5% 등이었다.조사개요이번 조사는 경기일보 의뢰로 여론조사기관 ㈜에스티아이가 2026년 4월 22일~23일 양일간 전국 만 18세 이상 남녀 1천명명을 대상으로, 무선 ARS 방식(휴대전화 RDD 100%)으로 진행했다. 표본오차는 95% 신뢰수준에 ±3.1%포인트이며 응답률은 2.4%다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다."
강원도지사,케이스탯,우상호,43.0,김진태,33.0,10.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5027165&exception_mode=recommend&search_head=100&page=5,케이스탯 : 강원도지사 우상호 43% v 김진태 33%,"정당지지도는 더불어민주당 45%, 국민의힘 30%였다. 민주당이 국민의힘을 15%p 앞섰다. 이어 조국혁신당 3%, 진보당과 개혁신당 각 1%였다. ‘지지하는 정당 없다’는 16%, ‘모름·무응답’ 2%였다.■ 어떻게 조사했나이번 여론조사는 강원도민일보가 여론조사 기관인 케이스탯리서치에 의뢰해 진행했다. 지난 24~25일 이틀간 강원특별자치도에 거주하는 18세 이상 남녀 812명(총 4445명 중 812명 응답 완료)의 조사가 완료됐다. 응답률은 18.3%다. 표본은 이동통신 3사 제공 무선전화 가상번호를 무작위로 추출했고, 응답방식은 전화조사원 인터뷰(CATI)로 진행됐다. 2026년 3월 행정안전부 주민등록 인구를 기준으로 성별·연령별·지역별 가중치를 부여(셀가중)했다. 표본오차는 95% 신뢰수준에 ±3.4%p다. 자세한 사항은 중앙선거여론조사심의위원회 홈페이지에서 확인할 수 있다.출처 : 강원도민일보(https://www.kado.net)"
경북 포항시,한국리서치,국힘,39.0,민주,24.0,15.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5022376&exception_mode=recommend&search_head=100&page=5,한국리서치 : 경북 포항시 국힘 39% 민주 24%,"이번 조사는 KBS 대구방송총국이 한국리서치에 의뢰해 20일부터 22일까지 사흘간 18살 이상 포항 시민 5백 명을 대상으로 휴대전화 가상번호를 활용해 면접원에 의한 전화 면접 방식으로 진행됐습니다.응답률은 22.1%, 표본오차는 95% 신뢰수준에 ±4.4%포인트입니다.자세한 여론조사 내용은 KBS와 중앙선거여론조사심의위원회 홈페이지 등에서 확인할 수 있습니다."
대구 달서구,한국리서치,국힘,33.0,민주,25.0,8.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5022379&exception_mode=recommend&search_head=100&page=5,한국리서치 : 대구 달서구 국힘 33% 민주 25%,"이번 조사는 KBS 대구방송총국이 한국리서치에 의뢰해 20일부터 22일까지 사흘간 18살 이상 대구 달서구민 5백 명을 대상으로 휴대전화 가상번호를 활용해 면접원에 의한 전화 면접조사로 진행됐습니다.응답률은 22.1%, 표본오차는 95% 신뢰수준에 ±4.4%포인트입니다.자세한 여론조사 내용은 KBS와 중앙선거여론조사심의위원회 홈페이지 등에서 확인할 수 있습니다."
,한국갤럽,이재명,67.0,민주,48.0,19.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021792&exception_mode=recommend&search_head=100&page=5,한국갤럽 : 이재명 67% 민주 48% 국힘 20%,"조사 개요- 조사기간: 2026년 4월 21~23일- 표본추출: 이동통신 3사 제공 무선전화 가상번호 무작위 추출- 응답방식: 전화조사원 인터뷰(CATI)- 조사대상: 전국 만 18세 이상 1,001명- 표본오차: ±3.1%포인트(95% 신뢰수준) – 주요 지표 표준오차·신뢰구간·상대표준오차 제시- 접촉률: 36.8%(전체 투입 유효 번호 대비 통화 연결)- 응답률: 14.7%(총통화 6,819명 중 1,001명 응답 완료)- 의뢰처: 한국갤럽 자체 조사이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조"
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021633&exception_mode=recommend&search_head=100&page=5,여조꽃 : 세종,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021631&exception_mode=recommend&search_head=100&page=5,여조꽃 : 대전,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021628&exception_mode=recommend&search_head=100&page=5,여조꽃 : 충북,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021625&exception_mode=recommend&search_head=100&page=5,여조꽃 : 충남,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021624&exception_mode=recommend&search_head=100&page=5,여조꽃 : 대구,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
서울시장,조원C&I,정원오,49.7,오세훈,35.9,13.8,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021579&exception_mode=recommend&search_head=100&page=5,조원C&I : 서울시장 정원오 49.7% v 오세훈 35.9%,"이번 조사는 스트레이트뉴스 의뢰로 조원씨앤아이가 2026년 4월 20일~21일 2일간 서울특별시 거주 18세 이상 남녀 대상으로 ARS 여론조사(휴대전화 가상번호 100%, 성, 연령대, 지역별 비례할당 무작위 추출)를 실시한 결과다. 표본수는 802명(총 통화시도 12732명, 응답률 6.3%), 표본오차는 95% 신뢰수준에 ±3.5%p다. 그 밖의 사항은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다."
서울시장,KSOI,정원오,45.6,오세훈,35.4,10.2,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5021578&exception_mode=recommend&search_head=100&page=5,KSOI : 서울시장 정원오 45.6% v 오세훈 35.4%,"지방선거에서 어느 진영을 뽑겠느냐는 질문에도 여권 후보를 뽑겠다는 응답이 46.6%, 야권 후보를 선택하겠다는 답이 37.2%였다.구청장 선호도에서도 민주당이 앞섰다. 응답자 43.2% 구청장 선거에서 민주당을 뽑겠다고 했고, 국민의힘을 뽑겠다는 답은 31.7%였다.다만 교육감 관련 질문에선 보수성향 후보를 뽑겠다는 응답이 38.5%로 진보성향 후보(38.1%)를 선택하겠다는 답을 근소하게 앞섰다.한편 정당 지지도는 민주당이 44.2%, 국민의힘이 31.5%였다. 개혁신당 지지 응답은 3.7%, 조국혁신당 지지 응답은 3.3%였다.▶ 이번 여론조사는…의뢰기관 : CBS조사기관 : 한국사회여론연구소(KSOI)기간 : 2026년 4월 22~4월 23일대상 : 서울 거주 만 18세 이상 남녀 1001명조사방법 : 통신사 제공 휴대전화 가상번호 이용 무선 ARS 자동응답조사(무선 100%)표본오차: ±3.1%포인트(95% 신뢰수준)응답률: 5.1%※자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조"
경남도지사,KSOI,김경수,46.9,박완수,35.7,11.2,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5020618&exception_mode=recommend&search_head=100&page=5,KSOI : 경남도지사 김경수 46.9% v 박완수 35.7%,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
대구시장,한국리서치,김부겸,43.0,추경호,26.0,17.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5020375&exception_mode=recommend&search_head=100&page=5,한국리서치 : 대구시장 김부겸 43% v 추경호 26%,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,NBS,이재명,69.0,민주,48.0,21.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5019157&exception_mode=recommend&search_head=100&page=5,NBS : 이재명 69% 민주 48% 국힘 15%,"조사개요조사지역: 전국조사기간: 2026년 4월 20일 ~ 4월 22일(3일간)조사대상(모집단): 만 18세 이상 남녀조사방법: 국내 통신 3사가 제공하는 휴대전화 가상번호(100%)를 이용한 전화면접조사표본추출: 성·연령·지역별 층화확률추출표본크기: 1,005명 (가중값 적용 후 1,005명)피조사자 선정방법: 성·연령·지역으로 층화된 가상번호 내 무작위 추출응답률: 17.7% (총 5,670명과 통화하여 그 중 1,005명 응답 완료)접촉률: 31.4%가중치 산출 및 적용: 성･연령･지역별 가중치 부여(셀가중)2026년 3월말 행정안전부 주민등록인구 통계 기준표본오차: 95% 신뢰수준에서 ± 3.1% point조사기관: 엠브레인퍼블릭ㆍ케이스탯리서치ㆍ코리아리서치ㆍ한국리서치이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조"
,토마토,이재명,61.4,민주,49.2,12.2,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5018809&exception_mode=recommend&search_head=100&page=5,토마토 : 이재명 61.4% 민주 49.2% 국힘 30.2%,"이번 조사는 <뉴스토마토> 의뢰로 미디어토마토가 지난 20일부터 21일까지 이틀간 만 18세 이상 전국 성인남녀 1036명을 대상으로 실시됐으며, 표본오차는 95% 신뢰수준에 ±3.0%포인트입니다. ARS(RDD) 무선전화 방식으로 진행됐으며, 응답률은 2.9%입니다.이번 조사는 2026년 3월 말 행정안전부 주민등록 인구를 기준으로 성별·연령별·지역별 가중값을 산출했고 셀가중을 적용했습니다. 그 밖의 자세한 조사 개요와 결과는 중앙선거여론조사심의위원회 홈페이지를 참조하면 됩니다."
창원시장,미상,송순호,26.0,강기윤,16.0,10.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5014232&exception_mode=recommend&search_head=100&page=5,창원시장 송순호 26% 강기윤 16%,https://news.kbs.co.kr/news/mobile/view/view.do?ncd=8541509&ref=A 전체 질문지와 내용은 중앙여론조사심의위원회와 KBS창원 홈페이지에서 확인할 수 있습니다. 500명 표본이긴 함 - dc official App
세종시장,조원C&I,조상호,44.9,최민호,19.7,25.2,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5018033&exception_mode=recommend&search_head=100&page=5,조원C&I : 세종시장 조상호 44.9% v 최민호 19.7%,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
경남 김해시,한국리서치,민주,43.0,국힘,19.0,24.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5016833&exception_mode=recommend&search_head=100&page=5,한국리서치 : 경남 김해시 민주 43% 국힘 19%,적극투표층 : 정영두 28% 홍태용 25%여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,미상,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5016814&exception_mode=recommend&search_head=100&page=5,오늘나온 부산 북갑 여조 질문지 웃기네.jpg,"""한동훈 전 국민의힘 대표""""박민식 전 국가보훈부 장관""이건 누가봐도 한동훈에게 유리한 질문지인데 의도가 뭘까?"
부산 북갑,KOPRA,하정우,31.0,한동훈,26.0,5.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5016411&exception_mode=recommend&search_head=100&page=5,KOPRA : 부산 북갑 하정우 31% 한동훈 26% 박민식 21%,"보수 진영 후보 중 선호도를 묻는 질문에서는 무소속 한동훈 후보가 30%, 국민의힘 박민식 후보가 29%로 오차범위 내 접전을 보였고, 국민의힘 이영풍 후보는 8%였다. ‘기타 인물’은 10%, ‘없다·잘 모름’은 24%였다.정당 후보 투표 가능성을 묻는 질문에서는 더불어민주당 후보가 40%로 가장 높았고, 국민의힘 후보 32%, 제3지대 · 무소속 후보 16%, 아직 결정하지 못했다는 응답은 12%였다.정당 지지도는 더불어민주당 42%, 국민의힘 33%, 조국혁신당 3%, 진보당 1%, 개혁신당 3%, 기타 정당 4%였으며, 지지 정당이 없거나 잘 모른다는 응답은 12%로 조사됐다.이번 조사는 인싸잇경기가 한국여론평판연구소(KOPRA)에 의뢰해 2026년 4월 19일부터 20일까지 이틀간 부산 북구갑에 거주하는 만 18세 이상 남녀 505명을 대상으로 무선 가상번호와 유선 RDD를 이용한 자동응답전화(ARS) 방식으로 실시됐다. 응답률은 4.2%(1만2천157명 중 505명)이며, 2026년 3월 말 행정안전부 주민등록 인구 기준으로 성별·연령대·지역별 가중치를 부여했다. 표본오차는 95% 신뢰수준에서 ±4.4%포인트다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다."
,KSOI,이재명,62.4,민주,46.7,15.7,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5016390&exception_mode=recommend&search_head=100&page=5,KSOI : 이재명 62.4% 민주 46.7% 국힘 25.9%,여론조사개요는 첨부된 사진에서 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,한길리서치,이재명,59.9,민주,41.6,18.3,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5016318&exception_mode=recommend&search_head=100&page=5,한길리서치 : 이재명 59.9% 민주 41.6% 국힘 24.9%,"쿠키뉴스 의뢰로 여론조사 전문기관 한길리서치가 지난 18일부터 20일까지 유선 전화면접(4.7%)과 무선 ARS(95.3%, 유·무선 RDD 방식, 성·연령·지역별 할당 무작위 추출)를 병행해 진행됐다. 응답률은 2.7%, 표본오차는 95% 신뢰수준에 오차범위 ±3.1%p다. 자세한 조사개요와 결과는 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다."
,조원C&I,이재명,63.1,민주,49.6,13.5,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5016305&exception_mode=recommend&search_head=100&page=5,조원C&I : 이재명 63.1% 민주 49.6% 국힘 33.3%,"이번 조사는 스트레이트뉴스 의뢰로 조원씨앤아이가 2026년 4월 18~20일 3일간 전국 만 18세 이상 남녀 대상으로 ARS 여론조사(휴대전화 100% RDD 방식, 성, 연령대, 지역별 비례할당 무작위 추출)를 실시한 결과다. 표본수는 2001명(총 통화시도 46458명, 응답률 4.3%), 표본오차는 95% 신뢰수준에 ±2.2%p다. 그 밖의 사항은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다."
충남지사,조원C&I,박수현,42.2,김태흠,29.5,12.7,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5015336&exception_mode=recommend&search_head=100&page=5,조원C&I : 충남지사 박수현 42.2% v 김태흠 29.5%,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,미상,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5014938&exception_mode=recommend&search_head=100&page=5,부산인데도 이스라엘 태도가 잘못됐다는 응답이 더 많네,그것도 굥정에서
,미상,전재수,44.5,박형준,36.9,7.6,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5014838&exception_mode=recommend&search_head=100&page=5,[공정] 전재수 44.5% vs 박형준 36.9%,
,메타보이스,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5014756&exception_mode=recommend&search_head=100&page=5,메타보이스 : 경기 남양주시장,"[조사 개요] 조사의뢰: 리얼에셋타임즈 조사일시: 2026년 4월 10~11일(2일간) 조사기관: 메타보이스 조사지역 및 대상: 경기도 남양주시 거주 만 18세 이상 남녀 조사내용: 더불어민주당 남양주시장 후보 적합도, 남양주시장 가상대결 등 조사방법: 가상번호 활용 무선100% ARS조사 표본오차: ±4.4%p (95% 신뢰수준) 응답률: 4.6% 표본의 크기: 503명 피조사자 선정방법: 2026년 3월 말 주민등록인구통계에 따라 성별, 연령대별, 권역별 비례할당 후 무작위추출 가중치 산출 및 적용 방법: 2026년 3월 말 행정안전부 주민등록 인구 기준 성별, 연령대별, 권역별 가중치 부여(셀가중) 이번 여론조사와 관련한 자세한 사항은 리얼에셋타임즈 홈페이지(https://www.realvalue.co.kr/)나 중앙선거여론조사심의위원회 홈페이지(https://www.nesdc.go.kr)를 참조해주십시오. - dc official App"
강원 화천군,에이스리서치,민주,57.0,국힘,31.9,25.1,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5013327&exception_mode=recommend&search_head=100&page=5,에이스리서치 : 강원 화천군 민주 57.0% 국힘 31.9%,자세한 사항은 중앙선관위 여론조사심의위원회 홈페이지 참조레전드인데?
대전시장,조원C&I,허태정,46.3,이장우,22.9,23.4,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5012785&exception_mode=recommend&search_head=100&page=5,조원C&I : 대전시장 허태정 46.3% v 이장우 22.9%,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
부산시장,한국리서치,전재수,40.0,박형준,34.0,6.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5012418&exception_mode=recommend&search_head=100&page=5,한국리서치 : 부산시장 전재수 40% 박형준 34%,"적극투표층 : 전재수 48% 박형준 38%[조사 개요]조사의뢰 : KBS부산총국조사기관 : (주)한국리서치조사지역 : 부산광역시조사일시 : 4월 17일(금)~19일(일)조사대상 : 부산광역시 거주 만 18세 이상 남녀표본크기 : 1,000명피조사자선정방법 : 3개 통신사 제공 휴대전화 가상번호 100% 무작위 추출조사방법 : 면접원에 의한 전화면접조사응답률 : 20.5%가중치 부여방식 : 지역별, 성별, 연령별 가중치 부여 (2026년 3월 말 행정안전부 주민등록 인구 기준)표본오차 : 95% 신뢰수준에 ±3.1%p자세한 내용은 중앙선거여론조사심의위원회 홈페이지(http://www.nesdc.go.kr/portal/main.do)에서 확인할 수 있습니다."
경남지사,한국리서치,김경수,37.0,박완수,27.0,10.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5012277&exception_mode=recommend&search_head=100&page=5,"한국리서치: 경남지사, 김경수 37%  박완수 27%","https://n.news.naver.com/article/003/0013898689?sid=102 KBS창원 경남도지사 여론조사…김경수 37%·박완수 27%KBS창원방송총국의 경남도지사 후보 지지도 조사에서 더불어민주당 김경수 후보 37%, 국민의힘 박완수 후보 27%, 진보당 전희영 후보 1%로 나왔다. 이번 조사 결과는 KBS창원방송총국 의뢰를 받은 한국리서치에서 n.news.naver.com○경남지사김경수 37% 박완수 27% 모름 27% 없음 8%○행정통합 찬성 61% 반대 29%○지방선거 투표의향 반드시 한다 76% 투표한다 93%○이재명 정부 국정운영긍정 62% ○경남 정당지지도민주 34% 국힘 30%"
